	abnormal neuron differentiation:-log(hyper_p)	abnormal neuron differentiation:-log(OR_p)	abnormal neuron differentiation:log_OR	abnormal neuron differentiation:num_genes	abnormal neuron differentiation:gene_ids	abnormal neuron morphology:-log(hyper_p)	abnormal neuron morphology:-log(OR_p)	abnormal neuron morphology:log_OR	abnormal neuron morphology:num_genes	abnormal neuron morphology:gene_ids	abnormal nervous system electrophysiology:-log(hyper_p)	abnormal nervous system electrophysiology:-log(OR_p)	abnormal nervous system electrophysiology:log_OR	abnormal nervous system electrophysiology:num_genes	abnormal nervous system electrophysiology:gene_ids	abnormal neuron number:-log(hyper_p)	abnormal neuron number:-log(OR_p)	abnormal neuron number:log_OR	abnormal neuron number:num_genes	abnormal neuron number:gene_ids	abnormal CNS synaptic transmission:-log(hyper_p)	abnormal CNS synaptic transmission:-log(OR_p)	abnormal CNS synaptic transmission:log_OR	abnormal CNS synaptic transmission:num_genes	abnormal CNS synaptic transmission:gene_ids	abnormal synaptic transmission:-log(hyper_p)	abnormal synaptic transmission:-log(OR_p)	abnormal synaptic transmission:log_OR	abnormal synaptic transmission:num_genes	abnormal synaptic transmission:gene_ids	decreased neuron number:-log(hyper_p)	decreased neuron number:-log(OR_p)	decreased neuron number:log_OR	decreased neuron number:num_genes	decreased neuron number:gene_ids	abnormal somatic nervous system morphology:-log(hyper_p)	abnormal somatic nervous system morphology:-log(OR_p)	abnormal somatic nervous system morphology:log_OR	abnormal somatic nervous system morphology:num_genes	abnormal somatic nervous system morphology:gene_ids	increased neuron number:-log(hyper_p)	increased neuron number:-log(OR_p)	increased neuron number:log_OR	increased neuron number:num_genes	increased neuron number:gene_ids	abnormal sensory neuron morphology:-log(hyper_p)	abnormal sensory neuron morphology:-log(OR_p)	abnormal sensory neuron morphology:log_OR	abnormal sensory neuron morphology:num_genes	abnormal sensory neuron morphology:gene_ids
C438121	-0.0	-0.0	0.0	0		0.7416242350541442	0.18038286791297767	0.3312522871531547	2	KCNQ1 SPTBN4	3.5837819581001837	3.769299721187608	2.4011664566116515	3	HCN4 KCNQ3 SCN2A	1.061578926055268	0.32053078488403	0.7319911722175307	1	KCNQ1	0.6943214095721525	0.06896987992358293	0.19089727390299505	1	KCNJ14	0.5582218542739267	0.0116851905080381	-0.03431903557658078	1	KCNJ14	1.1944280676099934	0.424574816129303	0.9131906936218384	1	KCNQ1	1.1411936891686785	0.5152448412878159	0.7723863526337986	2	KCNQ1 SPTBN4	-0.0	-0.0	0.0	0		1.1013553759898873	0.35093887702205717	0.786841222580966	1	KCNQ1
C438128	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438159	-0.0	-0.0	0.0	0		1.1947224220180799	0.4081309285359026	0.9598963236070981	1	SPTBN4	2.4512241861957977	1.6432388804057219	2.5498131693152795	1	SCN2A	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		1.5235322689845945	0.6768032412315566	1.4006714564351572	1	SPTBN4	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438126	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		4.2327412702814025	4.670177310885476	2.843296059309946	3	KCNMB4 KCNN2 KCNN3	-0.0	-0.0	0.0	0		0.9399991862581026	0.2305000461274243	0.565896955164285	1	KCNN2	0.788577971515132	0.12819179629770974	0.3406844433201117	1	KCNN2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438125	-0.0	-0.0	0.0	0		0.5485436754044019	0.017642484647953417	-0.052151144807456085	1	CYTH1	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		0.9399991862581026	0.2305000461274243	0.565896955164285	1	IQSEC2	0.788577971515132	0.12819179629770974	0.3406844433201117	1	IQSEC2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438130	1.848441855205513	1.026079707824481	1.7668570545381694	1	ARFGEF1	0.6664355296657547	0.05164012544432424	0.14864715864312839	1	ARFGEF1	1.825601874897443	1.0019885967947268	1.7385861907737175	1	PER1	-0.0	-0.0	0.0	0		1.078548556594734	0.3304378204200394	0.7666901171013913	1	PPP2R5D	0.920736518105347	0.21635929120803965	0.5414791236562655	1	PPP2R5D	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438129	6.288677358864976	7.436859409561897	3.568213718571984	4	ARFGEF1 CDK5R1 MAPT PRNP	5.438787615034945	4.697763974502217	2.7549924659341922	6	ARFGEF1 CDK5R1 KLK6 MAPT PRNP SNCA	1.825601874897443	1.0019885967947268	1.7385861907737175	1	PRNP	5.332172356495132	5.798359429949483	3.1057206184887622	4	KLK6 MAPT PRNP SNCA	5.612078077573959	5.55700212059821	2.968915833937242	5	CDK5R1 MAPT PPP2R5D PRNP SNCA	5.07457415025997	4.828853163754399	2.742794088534822	5	CDK5R1 MAPT PPP2R5D PRNP SNCA	4.178297991569706	4.403575774227677	2.8437920674887645	3	KLK6 PRNP SNCA	1.76384075463471	1.116156274182461	1.4014277653008484	2	MAPT PRNP	2.995091726663071	2.518891572510725	3.142480477355794	1	MAPT	1.5267221832331053	0.7065256083730386	1.362624617033985	1	MAPT
C438161	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438136	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		1.9170116441517817	1.094259950218862	1.8564285859409955	1	RAI1	-0.0	-0.0	0.0	0		1.1614713933037786	0.3930049971614223	0.8845343803714476	1	DNASE1L2	1.000408856086723	0.2721504031899336	0.6593241459855355	1	DNASE1L2	-0.0	-0.0	0.0	0		1.0341031237245637	0.296636404023754	0.707277072363663	1	DNASE1L2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438135	-0.0	-0.0	0.0	0		0.7387940610825026	0.09599811396192796	0.2664939921878231	1	PRSS56	1.9170116441517817	1.094259950218862	1.8564285859409955	1	GSG1L	-0.0	-0.0	0.0	0		2.100442532722594	1.483281552059352	1.7124611211805263	2	CNIH2 GSG1L	1.84643813054055	1.194787330024459	1.4870239346882395	2	CNIH2 GSG1L	-0.0	-0.0	0.0	0		1.0341031237245637	0.296636404023754	0.707277072363663	1	PRSS56	-0.0	-0.0	0.0	0		1.6157034775474775	0.7873339777853781	1.4804675311371405	1	PRSS56
C438133	3.3019891554466576	3.135450929900246	2.714567208500095	2	CTNNB1 PITX2	3.3251749174135155	2.809686965996295	2.124984019357295	4	CTNNB1 PITX2 PTK7 WNT5A	-0.0	-0.0	0.0	0		2.738756792451632	2.3012276073331956	2.2543547720831274	2	PTK7 WNT5A	2.100442532722594	1.483281552059352	1.7124611211805263	2	CTNNB1 LEF1	1.84643813054055	1.194787330024459	1.4870239346882395	2	CTNNB1 LEF1	1.7159598607791409	0.8853600809573952	1.606815429109676	1	WNT5A	4.169400476190589	3.877826676551274	2.5667740343970022	4	CDX1 CTNNB1 PITX2 PTK7	3.090638127344277	2.6509687811565583	3.260322014781873	1	PTK7	1.6157034775474775	0.7873339777853781	1.4804675311371405	1	PTK7
C438108	1.836371621445646	1.4070937028703594	1.0655314536536888	4	AUTS2 GATA3 KMT2A RNF2	0.8765357341688897	0.44286049930044574	0.3251613443381016	9	AUTS2 CADPS2 DYRK1A GATA3 KLK6 KMT2A RNF2 SNCA VPS35	0.7346537350578043	0.1767844768605964	0.3105884386606883	2	CHD8 RAI1	1.6022356346949915	1.154856362284996	0.8420021728124931	5	CADPS2 GATA3 KLK6 KMT2A SNCA	0.4849859551172037	0.0418440956165385	0.059388295161256544	4	CHD8 DNASE1L2 MCRS1 SNCA	0.7299516428376652	0.2769661656362793	0.26873798719246356	6	CADPS2 CHD8 DNASE1L2 GATA3 MCRS1 SNCA	1.392356437727169	0.8930364008181124	0.785373629151116	4	CADPS2 GATA3 KLK6 SNCA	0.33220156190987515	0.08728691105711142	-0.11845854834793368	4	AUTS2 DNASE1L2 GATA3 KMT2A	-0.0	-0.0	0.0	0		0.1983219849559648	0.3547027169356676	-0.7749041915304371	1	GATA3
C438107	1.913107354418497	1.5308635055114501	1.0061526682816133	5	ARFGEF1 CDK5R1 GRIA2 MAPT PRNP	2.518393088577452	2.263921887352423	0.7422900162195418	17	ARFGEF1 CAMK2A CDK5R1 GRIA2 GRID1 KCNMA1 KCNQ1 KIF5A KIF5C KLK6 MAPT PRNP PRSS56 SNCA SPTBN4 STXBP1 TSPAN7	8.039124940227538	10.871118635399696	2.0445195190499192	13	GRIA2 GRIA4 GSG1L HCN4 KCNMA1 KCNMB4 KCNN2 KCNN3 KCNQ3 PER1 PRNP SCN2A TSPAN7	2.5251195820091823	2.3316020189296403	1.050106346314183	8	GRIA2 KCNQ1 KIF5C KLK6 MAPT PRNP SNCA STXBP1	7.721555079307886	9.349946576694046	1.5712443769758209	20	CAMK2A CDK5R1 CNIH2 GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L KCNJ14 KCNMA1 KCNN2 MAPT PPP2R5D PRNP SHISA7 SNCA STX7 STXBP5 TSPAN7	6.806636148581392	7.878434779322241	1.4036655046001099	21	CAMK2A CDK5R1 CNIH2 GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L KCNJ14 KCNMA1 KCNN2 MAPT PPP2R5D PRNP SHISA7 SNCA STX7 STXBP1 STXBP5 TSPAN7	2.4456406388006537	2.23084061266945	1.0874732695725466	7	GRIA2 KCNQ1 KIF5C KLK6 PRNP SNCA STXBP1	1.142154013345755	0.7094162608247543	0.4541325632663291	9	CAMK2A GRID1 KCNMA1 KCNQ1 KIF5C MAPT PRNP PRSS56 SPTBN4	1.8781914247164015	1.3264340046821126	1.4346141030767194	2	KIF5C MAPT	1.193513362914291	0.7105750138072017	0.5977494446649434	5	KCNMA1 KCNQ1 KIF5C MAPT PRSS56
C438138	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		2.020646947411148	1.2004470449808449	1.9900193345530708	1	KCNJ11	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		1.0922157108654489	0.3386930118837185	0.7929175214408337	1	ABCC9	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438106	14.950777687666701	21.558467127703466	2.1173567012547365	26	ARFGEF1 ASCL1 CDK5R1 CTNNB1 FOXA2 FOXG1 GFAP GRIA2 GSX2 ID2 ID4 INSM1 LHX1 LMX1A MAPT NEUROG1 NEUROG2 NKX6-2 PAX6 PHOX2A PITX2 PRNP SOX1 SOX10 SOX11 SOX2	19.7796559550108	23.94689103758789	1.5811542523777593	63	ARFGEF1 ASCL1 BARHL2 CAMK2A CDK5R1 CLCN2 CTNNB1 DCX FOXA2 FOXG1 FOXN4 GABRA1 GABRA5 GABRA6 GABRB2 GABRB3 GFAP GRIA2 GRID1 GSX2 HEPACAM ID2 ID4 INSM1 IRX5 IRX6 KCND2 KCNMA1 KCNQ1 KIF5A KIF5C KLK6 LHX1 LHX3 LMX1A LMX1B MAP2 MAPT NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX2-2 NKX6-2 NPTN OLIG1 OLIG2 PAX6 PHOX2A PITX2 POU3F2 PRNP PRSS56 PTK7 SNCA SOX1 SOX10 SOX11 SOX2 SPTBN4 STXBP1 TSPAN7 WNT5A	12.821755582454548	18.030574990760805	1.988808761555497	24	ALDH5A1 CLCN2 GABRA6 GABRB1 GABRB3 GABRD GRIA2 GRIA4 GSG1L HCN4 KCNJ11 KCNMA1 KCNMB4 KCNN2 KCNN3 KCNQ3 NEUROD1 NKX6-2 PER1 PLCL1 PRNP SCN2A SOX2 TSPAN7	14.23399917115765	19.396744696430055	1.8434167380871092	31	ASCL1 BARHL2 FOXG1 FOXN4 GABRA1 GRIA2 INSM1 KCNQ1 KIF5C KLK6 LHX3 LMX1A LMX1B MAPT NEUROD1 NEUROD4 NEUROG2 NKX2-2 NPTN OLIG1 OLIG2 PHOX2A POU3F2 PRNP PTK7 SNCA SOX10 SOX11 SOX2 STXBP1 WNT5A	13.46278886837844	17.117656490609395	1.5641987002165783	39	CAMK2A CDK5R1 CNIH2 CTNNB1 DCX GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ GFAP GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L KCNJ14 KCNMA1 KCNN2 LEF1 MAPT NPTN OLIG1 OLIG2 PAX6 PPP2R5D PRNP SHISA7 SNCA STX7 STXBP5 TSPAN7	13.043074794237956	16.09339123418206	1.456427316729624	43	ABCC9 ALDH5A1 CAMK2A CDK5R1 CNIH2 CTNNB1 DCX GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRQ GFAP GNAI1 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L KCND2 KCNJ14 KCNMA1 KCNN2 LEF1 MAPT NPTN OLIG1 OLIG2 PAX6 PPP2R5D PRNP SHISA7 SNCA STX7 STXBP1 STXBP5 TSPAN7	12.919331835295687	17.720668088346933	1.8654367830345162	27	ASCL1 BARHL2 FOXG1 FOXN4 GABRA1 GRIA2 INSM1 KCNQ1 KIF5C KLK6 LHX3 LMX1A LMX1B NEUROD1 NEUROD4 NEUROG2 NPTN OLIG1 OLIG2 PHOX2A PRNP SNCA SOX10 SOX11 SOX2 STXBP1 WNT5A	13.73119673110805	17.132700464096956	1.5063450389725808	43	AIF1 ASCL1 BARHL2 CAMK2A CDX1 CLCN2 CTNNB1 DLX1 DLX2 FOXG1 FOXN4 GABRA5 GABRB2 GABRB3 GRID1 GSX2 IRX5 IRX6 KCNMA1 KCNQ1 KIF5C LHX3 LMX1A LMX1B MAPT NEUROD1 NEUROD4 NEUROG1 NEUROG2 NKX6-2 NPTN OLIG1 OLIG2 PAX6 PHOX2A PITX2 PRNP PRSS56 PTK7 SOX10 SOX11 SOX2 SPTBN4	9.606107038639731	14.329449403112223	2.5993942236471606	11	BARHL2 FOXG1 FOXN4 KIF5C LMX1B MAPT NEUROD1 NEUROG2 NKX2-2 PHOX2A PTK7	11.619942380915031	15.48036437488088	1.7314436457752684	27	ASCL1 BARHL2 CLCN2 FOXG1 FOXN4 GABRA5 GABRB2 GABRB3 GSX2 IRX5 IRX6 KCNMA1 KCNQ1 KIF5C LMX1B MAPT NEUROD1 NEUROD4 NEUROG2 NPTN OLIG1 OLIG2 PRSS56 PTK7 SOX10 SOX11 SOX2
C438137	-0.0	-0.0	0.0	0		2.291119765947108	1.7121976457166141	1.6542492704059892	3	GABRB2 GABRB3 NPTN	4.807119346499848	5.333476601619153	3.2489392353811866	3	ALDH5A1 GABRB1 GABRB3	1.572542275319102	0.7463771975027851	1.4256182280191245	1	NPTN	7.6534818614938604	6.640633771787963	3.663378041979678	6	GABRA2 GABRB1 GABRB2 GABRB3 GABRQ NPTN	8.812248475551653	6.201128121407104	3.997669742301664	7	ALDH5A1 GABRA2 GABRB1 GABRB2 GABRB3 GABRQ NPTN	1.7159598607791409	0.8853600809573952	1.606815429109676	1	NPTN	2.9486512957741615	2.512825496258308	2.0957030756812713	3	GABRB2 GABRB3 NPTN	-0.0	-0.0	0.0	0		4.183305147924853	4.293460173820822	2.8711010539380704	3	GABRB2 GABRB3 NPTN
