	0
MP:0000371	diluted coat color
MP:0000372	irregular coat pigmentation
MP:0000373	belly spot
MP:0000374	obsolete pink fur hue
MP:0000376	folliculitis
MP:0000377	abnormal hair follicle morphology
MP:0000375	abnormal hair follicle morphology
MP:0000378	absent hair follicles
MP:0000379	decreased hair follicle number
MP:0000380	small hair follicles
MP:0000381	enlarged hair follicles
MP:0000382	underdeveloped hair follicles
MP:0000383	abnormal hair follicle orientation
MP:0000384	distorted hair follicle pattern
MP:0000385	distended hair follicles
MP:0000386	obsolete abnormal hair follicle root sheath
MP:0000387	disorganized inner root sheath cells
MP:0000388	absent hair follicle inner root sheath
MP:0000389	disorganized outer root sheath cells
MP:0000390	disorganized matrix sheath cells
MP:0000391	premature hair follicle generation
MP:0000392	accelerated hair follicle regression
MP:0000393	persistent hair follicle morphogenesis
MP:0000394	absent hair follicle melanin granules
MP:0000395	obsolete abnormal hair types
MP:0000396	increased curvature of hairs
MP:0000397	abnormal guard hair morphology
MP:0000398	splitting of guard hairs
MP:0000399	increased curvature of guard hairs
MP:0000400	abnormal awl hair morphology
MP:0000401	increased curvature of awl hairs
MP:0000402	abnormal zigzag hair morphology
MP:0000403	increased curvature of zigzag hairs
MP:0000404	decreased curvature of zigzag hairs
MP:0000405	abnormal auchene hair morphology
MP:0000406	increased curvature of auchene hairs
MP:0000407	abnormal duvet hair morphology
MP:0000408	absent duvet hair
MP:0000410	waved hair
MP:0000411	shiny fur
MP:0000412	excessive hair
MP:0000413	polyphalangy
MP:0000414	alopecia
MP:0000416	sparse hair
MP:0000415	sparse hair
MP:0000417	short hair
MP:0000418	focal hair loss
MP:0006368	focal hair loss
MP:0000419	obsolete rough hair
MP:0000420	ruffled hair
MP:0000421	mottled coat
MP:0000422	delayed hair appearance
MP:0000423	delayed hair regrowth
MP:0000424	retarded hair growth
MP:0000425	loss of eyelid cilia
MP:0000426	ectopic hair growth
MP:0000427	abnormal hair cycle
MP:0000428	abnormal craniofacial morphology
MP:0000430	absent maxillary shelf
MP:0000112	absent maxillary shelf
MP:0000431	absent palatine bone horizontal plate
MP:0000113	absent palatine bone horizontal plate
MP:0000432	abnormal head morphology
MP:0000433	microcephaly
MP:0000434	megacephaly
MP:0001266	megacephaly
MP:0000435	shortened head
MP:0000436	abnormal head movements
MP:0001390	abnormal head movements
MP:0000437	taut facial appearance
MP:0000438	abnormal cranium morphology
MP:0000439	enlarged cranium
MP:0000440	domed cranium
MP:0000441	increased cranium width
MP:0000443	abnormal snout morphology
MP:0000444	abnormal snout morphology
MP:0000445	short snout
MP:0000446	long snout
MP:0000447	flattened snout
MP:0000448	pointed snout
MP:0000449	broad nasal bridge
MP:0000450	absent snout
MP:0000451	scaly muzzle
MP:0000452	abnormal mouth morphology
MP:0000453	absent mouth
MP:0000454	abnormal jaw morphology
MP:0000455	abnormal maxilla morphology
MP:0000089	abnormal maxilla morphology
MP:0000457	maxilla hypoplasia
MP:0000092	maxilla hypoplasia
MP:0000458	abnormal mandible morphology
MP:0000086	abnormal mandible morphology
MP:0000459	abnormal presacral vertebrae morphology
MP:0000460	mandible hypoplasia
MP:0000461	decreased presacral vertebrae number
MP:0000462	abnormal digestive system morphology
MP:0000463	abnormal digestive system morphology
MP:0002141	abnormal digestive system morphology
MP:0000464	increased presacral vertebrae number
MP:0000465	gastrointestinal hemorrhage
MP:0000466	esophageal epithelium hyperplasia
MP:0000467	abnormal esophagus morphology
MP:0000468	abnormal esophageal epithelium morphology
MP:0000469	abnormal esophageal squamous epithelium morphology
MP:0000470	abnormal stomach morphology
MP:0000471	abnormal stomach epithelium morphology
MP:0000472	abnormal stomach non-glandular epithelium morphology
MP:0000473	abnormal stomach glandular epithelium morphology
MP:0000474	abnormal foregut morphology
MP:0000476	obsolete thickening of bowel wall
MP:0000477	abnormal intestine morphology
MP:0000475	abnormal intestine morphology
MP:0000478	delayed intestine development
MP:0000479	abnormal enterocyte morphology
MP:0000480	increased rib number
MP:0000481	abnormal enterocyte cell number
MP:0000482	long fibula
MP:0000483	obsolete Increased intestinal cell number
MP:0000484	abnormal pulmonary artery morphology
MP:0000485	obsolete Decreased intestinal cell number
MP:0000486	abnormal pulmonary trunk morphology
MP:0000487	absent enterocytes
MP:0000347	absent enterocytes
MP:0000488	abnormal intestinal epithelium morphology
MP:0000489	abnormal large intestine morphology
MP:0000490	abnormal crypts of Lieberkuhn morphology
MP:0000491	crypts of Lieberkuhn abscesses
MP:0000492	abnormal rectum morphology
MP:0000493	rectal prolapse
MP:0000494	abnormal cecum morphology
MP:0000495	abnormal colon morphology
MP:0000496	abnormal small intestine morphology
MP:0000497	abnormal small intestine placement
MP:0000498	absent jejunum
MP:0000499	absent ileum
MP:0000500	small intestinal prolapse
MP:0000501	abnormal digestive secretion
MP:0000502	obsolete abnormal digestive mucosecretion
MP:0000503	excessive digestive secretion
MP:0000504	obsolete excessive digestive mucosecretion
MP:0000514	obsolete excessive digestive mucosecretion
MP:0000505	decreased digestive secretion
MP:0000506	obsolete decreased digestive mucosecretion
MP:0000515	obsolete decreased digestive mucosecretion
MP:0000507	absent digestive secretion
MP:0000508	right-sided isomerism
MP:0000509	obsolete absent digestive mucosecretion
MP:0000510	remittent intestinal hemorrhage
MP:0000511	abnormal intestinal mucosa morphology
MP:0000512	intestinal ulcer
MP:0000513	obsolete infiltration of lymphocytes/plasma cells
MP:0000516	abnormal renal/urinary system morphology
MP:0000517	abnormal renal/urinary system morphology
MP:0000519	hydronephrosis
MP:0000520	absent kidney
MP:0000521	abnormal kidney cortex morphology
MP:0000522	kidney cortex cyst
MP:0000523	cortical renal glomerulopathies
MP:0000524	decreased renal tubule number
MP:0000525	renal tubular acidosis
MP:0000526	small inner medullary pyramid
MP:0000527	abnormal kidney development
MP:0000528	delayed kidney development
MP:0000529	delayed kidney development
MP:0000530	abnormal kidney blood vessel morphology
MP:0000531	right pulmonary isomerism
MP:0000532	kidney vascular congestion
MP:0000257	kidney vascular congestion
MP:0000533	kidney hemorrhage
MP:0000534	abnormal ureter morphology
MP:0000535	ureter urothelium hyperplasia
MP:0000536	hydroureter
MP:0000537	abnormal urethra morphology
MP:0000538	abnormal urinary bladder morphology
MP:0000539	distended urinary bladder
MP:0000540	abnormal urinary bladder urothelium morphology
MP:0000541	obsolete abnormal urinary bladder transitional epithelium morphology
MP:0000542	left-sided isomerism
MP:0000543	absent urinary bladder urothelium
MP:0000544	thin urinary bladder urothelium
MP:0000545	obsolete abnormal limbs/digits/tail morphology
MP:0000547	short limbs
MP:0002542	short limbs
MP:0000548	long limbs
MP:0000549	absent limbs
MP:0000550	abnormal forelimb morphology
MP:0000551	absent forelimb
MP:0000552	abnormal radius morphology
MP:0000553	absent radius
MP:0000554	abnormal carpal bone morphology
MP:0000555	absent carpal bone
MP:0000556	abnormal hindlimb morphology
MP:0000557	absent hindlimb
MP:0000558	abnormal tibia morphology
MP:0000559	abnormal femur morphology
MP:0000561	adactyly
MP:0000562	polydactyly
MP:0000564	syndactyly
MP:0000565	oligodactyly
MP:0000563	oligodactyly
MP:0000566	synostosis
MP:0000567	truncation of digits
MP:0000568	ectopic digits
MP:0000569	abnormal digit pigmentation
MP:0000570	abnormal digit pigmentation
MP:0000571	interdigital webbing
MP:0000572	abnormal autopod morphology
MP:0004271	abnormal autopod morphology
MP:0000573	enlarged hind paws
MP:0000574	abnormal foot pad morphology
MP:0000575	increased foot pad pigmentation
MP:0000576	clubfoot
MP:0000577	absent eccrine glands
MP:0000677	absent eccrine glands
MP:0000578	ulcerated paws
MP:0000579	abnormal nail morphology
MP:0000580	deformed nails
MP:0000581	obsolete ventral nails/ hair
MP:0000582	toenail hyperkeratosis
MP:0000583	long toenails
MP:0000585	kinked tail
MP:0000586	kinked tail
MP:0000591	kinked tail
MP:0000588	thick tail
MP:0000589	thin tail
MP:0000592	short tail
MP:0000587	short tail
MP:0000593	obsolete tail band
MP:0000596	abnormal liver development
MP:0000597	delayed hepatic development
MP:0000598	abnormal liver morphology
MP:0000595	abnormal liver morphology
MP:0000599	enlarged liver
MP:0000600	liver hypoplasia
MP:0000601	small liver
MP:0000602	dilated liver sinusoidal spaces
MP:0000603	pale liver
MP:0000604	amyloidosis
MP:0000695	amyloidosis
MP:0000606	decreased hepatocyte number
MP:0000607	abnormal hepatocyte morphology
MP:0000605	abnormal hepatocyte morphology
MP:0002821	abnormal hepatocyte morphology
MP:0000608	dissociated hepatocytes
MP:0000609	abnormal liver physiology
MP:0000610	cholestasis
MP:0000611	jaundice
MP:0000612	obsolete sclerosis
MP:0000613	abnormal salivary gland morphology
MP:0000614	absent salivary gland
MP:0000615	abnormal palatine gland morphology
MP:0000616	decreased ductal branching in the palatine gland
MP:0000617	increased salivary gland mucosal cell number
MP:0000618	small salivary gland
MP:0000619	salivary gland epithelial hyperplasia
MP:0000620	narrow salivary ducts
MP:0000621	increased salivary adenocarcinoma incidence
MP:0002040	increased salivary adenocarcinoma incidence
MP:0000622	increased salivation
MP:0000623	decreased salivation
MP:0000624	xerostomia
MP:0000627	abnormal mammary gland morphology
MP:0000628	abnormal mammary gland development
MP:0003428	abnormal mammary gland development
MP:0000629	absent mammary gland
MP:0000630	mammary gland hyperplasia
MP:0000631	abnormal neuroendocrine gland morphology
MP:0000632	abnormal pineal gland morphology
MP:0000633	abnormal pituitary gland morphology
MP:0000635	pituitary gland hyperplasia
MP:0000634	pituitary gland hyperplasia
MP:0000636	enlarged pituitary gland
MP:0000637	obsolete abnormal merkel cells
MP:0000638	obsolete hyperproliferation of merkel cells
MP:0000639	abnormal adrenal gland morphology
MP:0000640	adrenal gland hypoplasia
MP:0000642	enlarged adrenal glands
MP:0000641	enlarged adrenal glands
MP:0000643	absent adrenal medulla
MP:0000644	dextrocardia
MP:0000645	absent adrenergic chromaffin cells
MP:0000646	enlarged adrenocortical cells
MP:0000647	abnormal sebaceous gland morphology
MP:0001226	abnormal sebaceous gland morphology
MP:0000648	absent sebaceous gland
MP:0001227	absent sebaceous gland
MP:0000649	sebaceous gland atrophy
MP:0001228	sebaceous gland atrophy
MP:0000650	mesocardia
MP:0000652	enlarged sebaceous gland
MP:0001229	enlarged sebaceous gland
MP:0000653	abnormal sex gland morphology
MP:0000654	absent sex gland
MP:0000655	dilated sex gland
MP:0001118	dilated sex gland
MP:0000659	prostate gland hyperplasia
MP:0001160	prostate gland hyperplasia
MP:0000660	prostate gland lateral lobe hypoplasia
MP:0001161	prostate gland lateral lobe hypoplasia
MP:0000661	small prostate gland ventral lobe
MP:0001162	small prostate gland ventral lobe
MP:0000662	abnormal branching of the mammary ductal tree
MP:0000664	small prostate gland anterior lobe
MP:0001164	small prostate gland anterior lobe
MP:0000665	decreased ductal branching in the coagulating gland
MP:0001165	decreased ductal branching in the coagulating gland
MP:0000666	decreased prostate gland duct number
MP:0001166	decreased prostate gland duct number
MP:0000671	bulbourethral gland hypoplasia
MP:0001171	bulbourethral gland hypoplasia
MP:0000672	obsolete decreased mucin cell number
MP:0001172	obsolete decreased mucin cell number
MP:0000674	abnormal sweat gland morphology
MP:0000675	abnormal eccrine sweat gland morphology
MP:0000676	abnormal body water content
MP:0000678	abnormal parathyroid gland morphology
MP:0001735	abnormal parathyroid gland morphology
MP:0000679	increased percent water in carcass
MP:0000680	absent parathyroid glands
MP:0001736	absent parathyroid glands
MP:0000681	abnormal thyroid gland morphology
MP:0001737	abnormal thyroid gland morphology
MP:0003500	abnormal thyroid gland morphology
MP:0000683	decreased percent water in carcass
MP:0000685	abnormal immune system morphology
MP:0000687	small lymphoid organs
MP:0000688	lymphoid hyperplasia
MP:0000689	abnormal spleen morphology
MP:0002226	abnormal spleen morphology
MP:0000690	absent spleen
MP:0000691	enlarged spleen
MP:0000692	small spleen
MP:0000693	spleen hyperplasia
MP:0000694	spleen hypoplasia
MP:0002466	spleen hypoplasia
MP:0000696	abnormal Peyer's patch morphology
MP:0000697	obsolete more prevalent Peyer's patches
MP:0000698	obsolete less prevalent Peyer's patches
MP:0000700	abnormal lymph node number
MP:0000701	abnormal lymph node size
MP:0000702	enlarged lymph nodes
MP:0000703	abnormal thymus morphology
MP:0002366	abnormal thymus morphology
MP:0000704	abnormal thymus development
MP:0000705	athymia
MP:0000706	small thymus
MP:0000708	thymus hyperplasia
MP:0000709	enlarged thymus
MP:0000711	thymus cortex hypoplasia
MP:0005045	thymus cortex hypoplasia
MP:0000712	obsolete abnormal thymocyte
MP:0002372	obsolete abnormal thymocyte
MP:0000713	obsolete abnormal thymocyte number
MP:0000714	increased thymocyte number
MP:0000326	increased thymocyte number
MP:0000721	increased thymocyte number
MP:0001827	increased thymocyte number
MP:0000715	decreased thymocyte number
MP:0000338	decreased thymocyte number
MP:0000725	decreased thymocyte number
MP:0001826	decreased thymocyte number
MP:0000716	abnormal immune system cell morphology
MP:0000717	abnormal lymphocyte cell number
MP:0000726	absent lymphocyte
MP:0000727	absent CD8-positive, alpha-beta T cells
MP:0000345	absent CD8-positive, alpha-beta T cells
MP:0000729	abnormal myogenesis
MP:0000730	increased satellite cell number
MP:0000731	increased collagen deposition in the muscles
MP:0000732	delayed primary myocyte appearance
MP:0000733	abnormal muscle development
MP:0000734	muscle hypoplasia
MP:0000736	delayed muscle development
MP:0000737	abnormal myotome development
MP:0000738	impaired muscle contractility
MP:0000740	impaired smooth muscle contractility
MP:0000741	impaired contractility of urinary bladder detrusor smooth muscle
MP:0000742	impaired contractility of ileal smooth muscle
MP:0000743	muscle spasm
MP:0000744	muscle spasm
MP:0000745	tremors
MP:0000746	weakness
MP:0000747	muscle weakness
MP:0000748	progressive muscle weakness
MP:0000749	muscle degeneration
MP:0000750	abnormal muscle regeneration
MP:0002547	abnormal muscle regeneration
MP:0000751	myopathy
MP:0000752	dystrophic muscle
MP:0000753	paralysis
MP:0000754	paresis
MP:0000755	hindlimb paralysis
MP:0000756	forelimb paralysis
MP:0000757	herniated abdominal wall
MP:0000759	abnormal skeletal muscle morphology
MP:0000761	thin diaphragm muscle
MP:0000762	abnormal tongue morphology
MP:0000763	abnormal filiform papillae morphology
MP:0000764	abnormal tongue epithelium morphology
MP:0000765	abnormal tongue squamous epithelium morphology
MP:0000766	absent tongue squamous epithelium
MP:0000767	abnormal smooth muscle morphology
MP:0000768	obsolete nervous system abnormalities
MP:0000771	abnormal brain size
MP:0000774	decreased brain size
MP:0000772	decreased brain size
MP:0000776	abnormal inferior colliculus morphology
MP:0000902	abnormal inferior colliculus morphology
MP:0000777	increased inferior colliculus size
MP:0000903	increased inferior colliculus size
MP:0000778	abnormal nervous system tract morphology
MP:0000779	obsolete gliosis of tract
MP:0000780	abnormal corpus callosum morphology
MP:0000781	decreased corpus callosum size
MP:0000783	abnormal forebrain morphology
MP:0000784	forebrain hypoplasia
MP:0000785	telencephalon hypoplasia
MP:0000786	abnormal embryonic neuroepithelial layer differentiation
MP:0000787	abnormal telencephalon morphology
MP:0000782	abnormal telencephalon morphology
MP:0000788	abnormal cerebral cortex morphology
MP:0000789	thickened cerebral cortex
MP:0000790	abnormal stratification in cerebral cortex
MP:0000791	delaminated cerebral cortex
MP:0000792	abnormal cortical marginal zone morphology
