# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 5 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-6863
# Timestamp: Tue, 07-Jun-2022 23:32:23
Gene ID	Gene Name	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable' .foldChange	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable'.pValue
ENSG00000004660	CAMKK1	0.4	0.972944153995089			0.3	0.914621932828302	0.2	0.931165540343864	0.1	0.906084844594681
ENSG00000004700	RECQL	0.2	0.999985931919634	0.4	0.333888394172227	0.1	0.96627649104626	0.3	0.770872622775323	0.5	0.339325930104282
ENSG00000004766	VPS50			0.6	0.213068892984396	0.2	0.929044254329603	0.3	0.849245757166635	0.4	0.543045570216676
ENSG00000004776	HSPB6	0.6	0.772890521299571			0.9	0.546700436006574	0.5	0.772175104487883	0.4	0.687539361624822
ENSG00000004777	ARHGAP33	0.2	0.999985931919634	0.4	0.555447821378449	0.6	0.717425432681822	0.4	0.704482583857023	0.3	0.771354509682499
ENSG00000004779	NDUFAB1	0.1	0.999985931919634	-1.1	0.0844662777194494	0.1	0.988680569518034	-0.3	0.785187336745322	-0.1	0.894668617729638
ENSG00000004799	PDK4	-0.3	0.999985931919634	-0.3	0.521498117026155	-0.5	0.781890735605284			0.4	0.444831043223106
ENSG00000004838	ZMYND10	-0.1	0.999985931919634			0.1	0.965036896640956			-0.8	0.329564756606692
ENSG00000004864	SLC25A13	-0.2	0.999985931919634	-0.6	0.105146707658416	-0.5	0.803197221176443	-0.5	0.256144032534804	-0.3	0.704958060394135
ENSG00000004866	ST7	-0.2	0.999985931919634	-0.4	0.256374217095905	-0.2	0.898418152784188	-0.3	0.499870513585646	-0.2	0.836491250315572
ENSG00000004897	CDC27	-0.1	0.999985931919634	0.2	0.700500941594451			0.1	0.962462886483126	0.2	0.633147618667445
ENSG00000004939	SLC4A1					0.8	0.788850902868571				
ENSG00000004961	HCCS	0.1	0.999985931919634	-0.4	0.304466977801592	-0.1	0.965036896640956	-0.2	0.90483564844879	0.1	0.937578669306667
ENSG00000004975	DVL2	-0.1	0.999985931919634	-0.6	0.267725229127952	-0.1	0.943200718146659	-0.2	0.840466598107023	-0.2	0.790038248347992
ENSG00000005001	PRSS22					1.4	0.302912130996081	0.7	0.560569902662689		
ENSG00000005007	UPF1	-0.1	0.999985931919634	-0.6	0.207958207062385					-0.4	0.558566106387861
ENSG00000005020	SKAP2	0.1	0.999985931919634	0.5	0.113695804170512			0.2	0.811081426672619	0.4	0.387566463254093
ENSG00000005022	SLC25A5	0.1	0.999985931919634	-0.8	0.136033378151901	-0.2	0.946731972826535	-0.4	0.722658786327222	-0.1	0.943294257120446
ENSG00000005059	MCUB	0.4	0.960191787092518	0.8	0.16430587956146	0.3	0.92627750591764	0.2	0.872095199981191	0.4	0.427159161413832
ENSG00000005075	POLR2J			-1.2	0.0885114729961448			-0.5	0.592541861514665	-0.2	0.854423419306707
ENSG00000005100	DHX33			-0.3	0.291260848508565					-0.1	0.825970069139952
ENSG00000005102	MEOX1					0.9	0.729545477627687	0.6	0.707007090840742		
ENSG00000005108	THSD7A	-0.3	0.999985931919634	0.7	0.288475859138224	-0.2	0.952310796383059	0.2	0.922791041592005	0.4	0.705034355765872
ENSG00000005156	LIG3			-0.2	0.571926365744133	-0.1	0.949573054398049			-0.2	0.78173748343334
ENSG00000005175	RPAP3			0.2	0.716160224235536	0.1	0.97009461851206	0.2	0.891399745745728	0.4	0.642299418180374
ENSG00000005187	ACSM3	-0.1	0.999985931919634	-0.7	0.0642736597068899	-0.6	0.647953492041312	-0.2	0.917443109530269	0.2	0.833907367495551
ENSG00000005189	REXO5	-0.2	0.999985931919634			-0.1	0.962613535013984			-0.1	0.927387219862926
ENSG00000005194	CIAPIN1			-0.7	0.134626721276222					-0.2	0.787966774747979
ENSG00000005206	SPPL2B	0.1	0.999985931919634	-0.2	0.674782878439996			0.1	0.931302651176083	-0.4	0.408084592871692
ENSG00000005238	FAM214B	0.1	0.999985931919634	-0.4	0.406634568894464			-0.2	0.841428306961686	-0.2	0.646555249311165
ENSG00000005243	COPZ2	0.1	0.999985931919634	-0.9	0.149857466550206	-0.1	0.987709852148923	-0.3	0.799309116432564	-0.4	0.66053976448146
ENSG00000005249	PRKAR2B	-0.1	0.999985931919634	0.6	0.238363361108358	0.4	0.908321694860136	-0.3	0.840466598107023	0.1	0.890942153614017
ENSG00000005302	MSL3	0.1	0.999985931919634	0.4	0.387030671390386	0.1	0.967695717971965	-0.1	0.901391447623208	0.2	0.643026680295693
ENSG00000005339	CREBBP	-0.2	0.999985931919634	0.1	0.77520298700369			0.1	0.92803387990439	-0.2	0.762854997496724
ENSG00000005379	TSPOAP1	0.2	0.999985931919634	0.3	0.611037452804131	0.2	0.922623529523243	0.2	0.857575793912941	-0.1	0.956849171453384
ENSG00000005381	MPO	-0.3	0.999985931919634			-0.1	0.985848923417494			-0.3	0.778723105968685
ENSG00000005421	PON1			-0.8	0.0599415918743487	-0.5	0.819715985501436	-0.7	0.0522990094583196		
ENSG00000005436	GCFC2	-0.2	0.999985931919634	0.6	0.299107858228724	-0.1	0.973304774737146	-0.1	0.954412364755138	0.1	0.908674978243627
ENSG00000005448	WDR54	0.4	0.999985931919634	-0.3	0.716160224235536	0.2	0.922309295101779	0.2	0.911910021455679	-0.1	0.915621045838454
ENSG00000005469	CROT			0.1	0.841804688603162	-0.7	0.113826767088756	0.1	0.943833946616525	0.3	0.679909708147862
ENSG00000005471	ABCB4	0.5	0.758364228087654	-0.4	0.440333108370251	-0.2	0.956848754331584	0.4	0.769982350026832	0.4	0.681363368281266
ENSG00000005483	KMT2E			0.7	0.147465266973331	0.3	0.794697523920034	0.4	0.726647465423968	0.1	0.870939024881508
ENSG00000005486	RHBDD2	0.2	0.999985931919634	-0.9	0.162522612730363	-0.1	0.973953532695888	0.1	0.928893452102042	-0.2	0.843651120724271
ENSG00000005513	SOX8					0.2	0.969392233474908				
ENSG00000005700	IBTK	-0.1	0.999985931919634	0.2	0.564342875584612	-0.1	0.934911119311627			0.2	0.724613560181644
ENSG00000005801	ZNF195			0.6	0.24009310443331	0.1	0.955098234054372	0.4	0.840466598107023	0.2	0.797733166123496
ENSG00000005810	MYCBP2	0.1	0.999985931919634	0.3	0.480744812048054			0.2	0.859482626312834		
ENSG00000005812	FBXL3	-0.1	0.999985931919634	0.4	0.32913719623497	0.1	0.974627815415514	-0.2	0.913217678419577	0.4	0.429081850400426
ENSG00000005844	ITGAL	0.2	0.999985931919634	0.4	0.385678075760125	-0.2	0.937533786897238	0.2	0.863386830300565		
ENSG00000005882	PDK2	-0.1	0.999985931919634	-0.9	0.119912292527306			-0.3	0.771559017136588	-0.2	0.793317648144303
ENSG00000005884	ITGA3	0.6	0.814810755314648	0.7	0.217926878277404	1.2	0.0999630955127422	1.0	0.0225331208260864	0.6	0.429081850400426
ENSG00000005889	ZFX	-0.3	0.999985931919634	0.4	0.501706633326136			-0.1	0.971125447166995	0.1	0.870939024881508
ENSG00000005893	LAMP2			-0.3	0.506014602781414	-0.2	0.930435438690013			0.4	0.478496951905953
ENSG00000005961	ITGA2B					1.0	0.538420824345037	-0.3	0.883842319012815		
ENSG00000005981	ASB4	-0.3	0.999985931919634	-0.2	0.811266840169417	-0.4	0.869390340946759	-0.5	0.683216524296727	0.1	0.947613861548337
ENSG00000006007	GDE1			-0.7	0.0641045743496833			-0.4	0.483132263274154	-0.2	0.862636471221306
ENSG00000006015	REX1BD	-0.1	0.999985931919634	-0.8	0.176272452099582	-0.3	0.765531753409254	-0.4	0.559784377960689	-0.4	0.642299418180374
ENSG00000006016	CRLF1	-0.2	0.999985931919634			0.8	0.765628186634644				
ENSG00000006025	OSBPL7	0.7	0.56389078328449	0.7	0.176494097627512	0.7	0.644982513058095	0.8	0.0718585624022127	0.2	0.826258913636116
ENSG00000006042	TMEM98	0.3	0.999985931919634	-0.2	0.795941351056332	0.9	0.131597629822529	-0.1	0.980668356517847	0.3	0.77753092718901
ENSG00000006047	YBX2					-0.8	0.633120526673142	-0.2	0.920350452475385	-0.1	0.922808483872592
ENSG00000006062	MAP3K14	0.2	0.999985931919634	0.2	0.533386855920819			0.3	0.7446658721498	-0.2	0.721421249232455
ENSG00000006118	TMEM132A	0.4	0.957662103720284	0.3	0.556837263140334	0.3	0.857684889801224	0.6	0.249433058978307	0.8	0.10654317708811
ENSG00000006125	AP2B1	0.1	0.999985931919634	-0.2	0.613531226681879			0.1	0.954412364755138		
ENSG00000006194	ZNF263			-0.5	0.165885465318314			-0.1	0.877007117292577	-0.1	0.787928508873737
ENSG00000006210	CX3CL1			-0.3	0.619087111372533	-0.3	0.902618219518092	0.1	0.974128573922343	-0.4	0.573538958905106
ENSG00000006282	SPATA20	0.2	0.999985931919634	-0.6	0.316488288176022	-0.2	0.91582828731546	0.2	0.934370547697302	-0.1	0.966790016805568
ENSG00000006283	CACNA1G					1.2	0.545676075102752				
ENSG00000006327	TNFRSF12A	0.9	0.268043416002026	-0.2	0.777502515478766	0.2	0.961933045843195	0.9	0.12935011415754	0.2	0.870939024881508
ENSG00000006432	MAP3K9							0.3	0.772175104487883	-0.2	0.746204477406449
ENSG00000006451	RALA	-0.2	0.999985931919634	0.1	0.784613113358906					0.3	0.514629348279381
ENSG00000006453	BAIAP2L1	-0.2	0.999985931919634	-0.2	0.773906051763901			-0.1	0.944704880756941	-0.1	0.952019893995927
ENSG00000006459	KDM7A			0.5	0.233711930609515	-0.1	0.959763268766586	0.1	0.949195185643444	0.2	0.728445251132405
ENSG00000006468	ETV1	-0.5	0.878879920434288	0.4	0.44603970597127	0.2	0.949573054398049			0.1	0.912716541174646
ENSG00000006530	AGK			0.4	0.32788824042886			0.2	0.895197832485308	0.3	0.578161603671348
ENSG00000006534	ALDH3B1	0.3	0.999985931919634			0.4	0.741775180719256	0.1	0.967248257857854	-0.1	0.927387219862926
ENSG00000006555	TTC22	0.1	0.999985931919634	0.2	0.688439658204788			0.3	0.68815857541808	-0.2	0.842599429512473
ENSG00000006576	PHTF2	-0.1	0.999985931919634	0.7	0.111233670794346	-0.1	0.978631858275985	0.3	0.782960478388445	0.4	0.516976922345738
ENSG00000006607	FARP2	-0.1	0.999985931919634	-0.2	0.449241042699263					-0.1	0.735941947396859
ENSG00000006611	USH1C	0.6	0.952562748122185			1.3	0.227107714203929	1.0	0.189801512141877	0.6	0.564334527501406
ENSG00000006625	GGCT	-0.2	0.999985931919634					0.1	0.974718963619465	0.2	0.817222590468839
ENSG00000006634	DBF4	0.4	0.958405385959795	0.5	0.330937851270389	-0.3	0.867459766966156	0.2	0.913217678419577	0.5	0.432346042334834
ENSG00000006638	TBXA2R			-0.8	0.152396711763703	-0.3	0.860664033569786	-0.4	0.679327660763444	-0.4	0.415698099718152
ENSG00000006652	IFRD1	-0.1	0.999985931919634	0.6	0.289323722856148	0.2	0.957409362242363	0.1	0.981227942117829		
ENSG00000006695	COX10	0.1	0.999985931919634	-0.2	0.571926365744133	0.3	0.898476048016577	0.2	0.868868669620498	-0.1	0.789840516109816
ENSG00000006704	GTF2IRD1	-0.2	0.999985931919634	-0.3	0.681694550686344	0.4	0.891176219927543	-0.1	0.933963676869944	-0.5	0.341914216047743
ENSG00000006712	PAF1	0.1	0.999985931919634	-0.6	0.207388151694028	-0.3	0.632830722486775	-0.3	0.805473210097361	-0.2	0.810074250907609
ENSG00000006715	VPS41	0.2	0.999985931919634	0.4	0.314880178063254			0.2	0.837595283140544	0.3	0.501991453738492
ENSG00000006740	ARHGAP44	0.3	0.999985931919634	0.4	0.395231891114399	0.9	0.401261590776787	0.2	0.889411295379971	0.3	0.728394586996298
ENSG00000006744	ELAC2	0.1	0.999985931919634	-0.6	0.158914243779042	-0.1	0.955098234054372	-0.1	0.971125447166995	-0.2	0.796530880472624
ENSG00000006747	SCIN					0.4	0.929412971189339	0.4	0.825204443071363		
ENSG00000006756	ARSD	-0.3	0.999985931919634	-0.3	0.580005356063792	-0.3	0.891176219927543	-0.5	0.543844032400901	-0.4	0.702459794235549
ENSG00000006757	PNPLA4	-0.3	0.999985931919634	-0.5	0.293785997370283	-0.1	0.965036896640956	-0.7	0.157354808725887	-0.2	0.823148290429484
ENSG00000006831	ADIPOR2	-0.3	0.999985931919634	-0.6	0.28135854431013	-0.2	0.954410430029391	-0.4	0.679327660763444	-0.1	0.862525546655388
ENSG00000006837	CDKL3	0.2	0.999985931919634			0.4	0.857684889801224			0.2	0.830425915410769
ENSG00000007001	UPP2	0.1	0.999985931919634			-0.3	0.955098234054372	0.4	0.787979243904534	1.1	0.0923449818520333
ENSG00000007047	MARK4			-0.4	0.498453908812535	0.2	0.901432038794609	-0.2	0.888452273955261	-0.6	0.0453280067305137
ENSG00000007062	PROM1	0.7	0.317075261270812	1.2	8.85885670065719E-4	0.8	0.515560813888848	0.8	0.219719736102128	0.9	0.217195001813265
ENSG00000007080	CCDC124			-0.7	0.245016208701521	-0.3	0.878011690908901	-0.2	0.920732807601431	-0.4	0.648914208489044
ENSG00000007129	CEACAM21	0.4	0.965279555556949	0.2	0.738397445681573	-0.3	0.940386480765126	0.1	0.971612050038669	-0.4	0.604916367838556
ENSG00000007168	PAFAH1B1					0.1	0.955098234054372			0.1	0.867200403015151
ENSG00000007171	NOS2	0.9	0.417594873340544			0.7	0.827609928737935	-0.1	0.975217987020126	0.7	0.391461194132769
ENSG00000007174	DNAH9					1.0	0.506069204779451	0.8	0.381623669263428		
ENSG00000007202	KIAA0100	0.2	0.999985931919634	-0.2	0.558406116960975			-0.1	0.914494565737341	-0.2	0.77753092718901
ENSG00000007216	SLC13A2	-0.3	0.999985931919634			0.2	0.958197125447237	0.5	0.782406725052839	0.1	0.919668658247353
ENSG00000007237	GAS7	0.4	0.999985931919634	0.4	0.487065055322671	-0.1	0.961639588052369	0.1	0.932435787973126	0.2	0.805243304666972
ENSG00000007255	TRAPPC6A			-0.9	0.16215114686313	-0.3	0.898476048016577	-0.3	0.834869017320165	-0.3	0.765710255871397
ENSG00000007264	MATK			-0.1	0.879756644202437	0.1	0.971046583182997	0.1	0.954789571240598	-0.3	0.712915577034096
ENSG00000007312	CD79B	0.8	0.534995874520513	-0.1	0.908016508947486	-0.5	0.885454251550946	-0.1	0.979360983991349	0.3	0.744667064844275
ENSG00000007314	SCN4A	-0.2	0.999985931919634			-0.2	0.960570587727158				
ENSG00000007341	ST7L	-0.2	0.999985931919634					-0.1	0.909642640353199		
ENSG00000007376	RPUSD1	0.1	0.999985931919634	-0.7	0.210869494517315	-0.3	0.855552006554935	-0.2	0.909642640353199	-0.3	0.721005982966888
ENSG00000007384	RHBDF1	0.5	0.832044312125711	0.1	0.736416446525578	0.5	0.738268133613344	0.2	0.909642640353199		
ENSG00000007392	LUC7L	0.1	0.999985931919634	0.4	0.385428625462754	0.1	0.929044254329603			-0.1	0.958056773170972
ENSG00000007402	CACNA2D2					0.2	0.945646014066595	-0.1	0.978578298964639	0.2	0.835933370799638
ENSG00000007516	BAIAP3					-0.1	0.973953532695888	-0.1	0.894084486280237	-0.5	0.429696115028817
ENSG00000007520	TSR3			-0.9	0.137395338710642	-0.2	0.929044254329603	-0.3	0.851062802826089	-0.6	0.397227880382486
ENSG00000007541	PIGQ	0.1	0.999985931919634	-0.6	0.314807426334505	-0.1	0.964564991758934	0.2	0.850503159690652	-0.2	0.734225894193016
ENSG00000007545	CRAMP1			0.1	0.866938532968654	0.2	0.929044254329603			-0.1	0.913132247639721
ENSG00000007866	TEAD3	0.1	0.999985931919634	-0.7	0.147465266973331	0.2	0.90779054492117	0.1	0.929300219600406	-0.2	0.749089030019284
ENSG00000007908	SELE	-0.2	0.999985931919634	0.3	0.672024693811429	-0.1	0.981976085464	-0.5	0.720554033033716	0.4	0.725506535738547
ENSG00000007923	DNAJC11			-0.7	0.10880903936455					-0.3	0.602277648427348
ENSG00000007933	FMO3			-0.3	0.355935260370787	-0.6	0.731472663288495	-0.2	0.867126866841165	-0.1	0.845987121604971
ENSG00000007944	MYLIP	0.2	0.999985931919634	0.1	0.733691986290098	0.7	0.726879657808703	0.1	0.949806053387616	0.3	0.734225894193016
ENSG00000007968	E2F2					-0.2	0.963482472673717	0.3	0.889135623901369		
ENSG00000008018	PSMB1			-1.0	0.0641045743496833	-0.3	0.828542127537742	-0.3	0.753441075121979	-0.1	0.894668617729638
ENSG00000008056	SYN1					0.3	0.91582828731546				
ENSG00000008083	JARID2			0.2	0.655162317652694	0.1	0.948895483204626	-0.1	0.932402611298548	-0.1	0.905512403707134
ENSG00000008086	CDKL5			0.1	0.755438925746704	0.1	0.914621932828302	0.2	0.903929027958762	0.2	0.804215171211785
ENSG00000008118	CAMK1G					0.4	0.933686901065923	-0.2	0.940757442910297		
ENSG00000008128	CDK11A	0.4	0.999985931919634			0.3	0.917036483399854			-0.5	0.552083265088294
ENSG00000008130	NADK			-0.7	0.214691675860277	-0.3	0.892620531092889	-0.3	0.804274713769173	-0.4	0.616831782581272
ENSG00000008226	DLEC1	-0.1	0.999985931919634	-0.6	0.198890372244924			0.1	0.973972467396479	-0.6	0.46300031406591
ENSG00000008256	CYTH3	0.4	0.923765088777093	-0.1	0.725883748549337	0.6	0.702390846806136	0.3	0.821906336239111	0.1	0.905277028616251
ENSG00000008277	ADAM22	0.2	0.999985931919634	0.7	0.245326500310939	0.8	0.633120526673142	0.5	0.756237131532042	0.4	0.663176634465122
ENSG00000008282	SYPL1	-0.3	0.999985931919634	0.1	0.904009056389841	0.2	0.920169096121369	-0.2	0.861220853312384	0.4	0.359604538625688
ENSG00000008283	CYB561	0.3	0.999985931919634	-0.3	0.539927862709425					-0.2	0.855124818458609
ENSG00000008294	SPAG9	-0.1	0.999985931919634	-0.2	0.630915841286235	-0.1	0.948895483204626	-0.2	0.872999189550724	0.1	0.927387219862926
ENSG00000008300	CELSR3	0.2	0.999985931919634	0.2	0.723028144749513					-0.1	0.9424397233906
ENSG00000008311	AASS			0.2	0.503223356361389	-0.4	0.857684889801224	-0.3	0.861577168481263	-0.1	0.861071575688978
ENSG00000008323	PLEKHG6	0.1	0.999985931919634	-0.6	0.261261450744436	0.1	0.986163753817535			-0.4	0.582751340010228
ENSG00000008324	SS18L2	-0.1	0.999985931919634	-0.7	0.136512884931782	-0.2	0.929044254329603	-0.2	0.909642640353199	-0.1	0.900802934141463
ENSG00000008382	MPND	-0.2	0.999985931919634	-0.9	0.117702411915648	-0.5	0.616262325393999	-0.6	0.36742197168795	-0.6	0.15651614865322
ENSG00000008394	MGST1			-0.3	0.521712324017585	-0.4	0.857684889801224	-0.2	0.901710933822344	0.2	0.804687804391421
ENSG00000008405	CRY1	0.3	0.999985931919634	0.2	0.715608208413742	0.1	0.984610050720241	0.3	0.854069018803916		
ENSG00000008441	NFIX	-0.3	0.999985931919634	-0.4	0.410530903254065	0.3	0.914621932828302	-0.1	0.961353487070693	-0.6	0.207634840502689
